Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,49.88999938964844,51.38999938964844,49.400001525878906,49.66999816894531,47.67177200317383,46102500
2021-01-05,49.45000076293945,50.83000183105469,49.33000183105469,50.61000061035156,48.57395553588867,24866600
2021-01-06,50.439998626708984,52.150001525878906,50.20000076293945,51.099998474121094,49.044246673583984,36809600
2021-01-07,51.4900016784668,52.689998626708984,51.29999923706055,52.189998626708984,50.090389251708984,32092300
2021-01-08,52.45000076293945,52.529998779296875,51.27000045776367,51.650001525878906,49.57212448120117,34625400
2021-01-11,51.290000915527344,52.2400016784668,51.25,51.540000915527344,49.46654510498047,32925000
2021-01-12,51.900001525878906,53.849998474121094,51.560001373291016,53.2400016784668,51.0981559753418,39883900
2021-01-13,59.5,60.25,56.900001525878906,56.95000076293945,54.658897399902344,124070700
2021-01-14,58.45000076293945,60.13999938964844,57.84000015258789,59.25,56.86637496948242,74680900
2021-01-15,58.849998474121094,59.650001525878906,57.5,57.58000183105469,55.26355743408203,50265400
2021-01-19,57.939998626708984,58.34000015258789,57.099998474121094,57.9900016784668,55.65706253051758,35647100
2021-01-20,58.2400016784668,59.220001220703125,58.09000015258789,58.66999816894531,56.3097038269043,28701300
2021-01-21,59.040000915527344,63.95000076293945,58.220001220703125,62.459999084472656,59.94723129272461,86519500
2021-01-22,58.849998474121094,59.619998931884766,56.650001525878906,56.65999984741211,54.38056182861328,85729300
2021-01-25,56.380001068115234,56.5,54.060001373291016,55.439998626708984,53.20964431762695,61968500
2021-01-26,55.279998779296875,56.20000076293945,54.849998474121094,55.209999084472656,52.98889923095703,31485900
2021-01-27,54.61000061035156,54.849998474121094,53.29999923706055,53.59000015258789,51.4340705871582,49722900
2021-01-28,54.790000915527344,57.400001525878906,54.70000076293945,56.06999969482422,53.814300537109375,49202600
2021-01-29,55.97999954223633,57.15999984741211,55.36000061035156,55.5099983215332,53.276832580566406,37256200
2021-02-01,55.95000076293945,57.38999938964844,55.709999084472656,56.689998626708984,54.409358978271484,26926600
